Crisis ID,Type of Community Crisis,What,Where,When,How,Severity,Duration
4712,Civil War,insurgency,"75953 Yu Plaza Suite 454, Ivanchester, MP 96676",07-07-2021 16:20,insurgency,moderate,within 18 hours
4713,Crime Spree,lawlessness,"4311 Jason Passage, North Lisaview, WY 74594",22-12-2020 02:31,crime wave,high,within 6 hours
4714,Riot,civil unrest,"18679 Gordon Mission, Mitchellport, MP 75753",06-12-2023 22:01,violent protest,low,within 24 hours
4715,Riot,disturbance,"PSC 9056, Box 3154, APO AA 62224",16-07-2021 06:49,disturbance,low,within 36 hours
4716,Environmental Hazard,environmental disaster,"PSC 8294, Box 1278, APO AP 30122",05-04-2024 01:25,environmental disaster,low,within 12 hours
4717,Public Health Emergency,epidemic,"969 Marquez Tunnel Apt. 529, Catherinemouth, GU 72937",06-02-2024 12:14,epidemic,very high,within 12 hours
4718,Environmental Hazard,ecological threat,"388 Andrew Gateway, North Christopherhaven, MD 90906",12-11-2020 01:28,environmental disaster,moderate,within 36 hours
4719,Terrorist Attack,terrorist attack,"8828 Dwayne Crossing Suite 124, Port Bianca, MD 57917",24-12-2020 19:47,terrorism,very low,within 6 hours
4720,Crime Spree,lawlessness,"101 Lynch Pike Suite 627, North Matthewshire, KS 65536",24-07-2021 03:00,crime spree,high,within 12 hours
4721,Protest,demonstration,"48847 Hannah Union, Joefort, VI 80921",18-03-2023 16:27,rally,very low,within 24 hours
4722,Terrorist Attack,bombing,"941 Anna Bypass, Anthonybury, NH 08883",16-04-2020 07:43,bombing,very low,within 18 hours
4723,Terrorist Attack,armed assault,"773 Acosta Overpass Suite 257, Woodton, PW 93745",11-04-2021 20:38,bombing,high,within 48 hours
4724,Public Health Emergency,health crisis,"666 Juan Inlet Apt. 345, Williamsborough, PA 32081",01-02-2021 12:04,pandemic,very low,within 12 hours
4725,Terrorist Attack,bombing,"917 Foster Lights, East Daniellestad, VA 90320",03-01-2024 10:29,hostage crisis,high,within 18 hours
4726,Riot,violent protest,"USCGC Johnson, FPO AE 62890",31-10-2023 10:42,uprising,very low,within 18 hours
4727,Protest,strike,"76023 Gonzales Village Suite 092, Thomaschester, GA 98337",06-05-2023 18:21,rally,low,within 12 hours
4728,Terrorist Attack,hostage crisis,"713 Clark Mills, Lake Matthewton, MI 89430",27-01-2021 15:33,terrorism,moderate,within 6 hours
4729,Civil War,insurgency,"73792 Deborah Tunnel Suite 523, Aliciafort, ME 48414",31-08-2020 18:29,warfare,low,within 6 hours
4730,Riot,riot,"65001 Young Parkway Suite 401, Lake Christopherfort, HI 21341",24-04-2023 11:19,disturbance,moderate,within 48 hours
4731,Environmental Hazard,pollution,"48218 Laurie Circle Apt. 506, Ambertown, SD 61391",14-03-2024 14:36,ecological threat,very low,within 18 hours
4732,Protest,protest,"3263 Stephenson Cape, Port Ernestville, CO 65476",07-09-2020 04:54,demonstration,very high,within 24 hours
4733,Protest,march,"563 Simon Haven, East Logan, NM 58970",09-03-2023 06:02,demonstration,moderate,within 12 hours
4734,Civil War,warfare,"PSC 0868, Box 8991, APO AP 06623",05-08-2023 18:24,insurgency,low,within 48 hours
4735,Crime Spree,crime wave,"1416 Wanda Greens, Lake Nataliefort, VA 66037",24-09-2020 20:06,criminal activity,very low,within 24 hours
4736,Environmental Hazard,ecological threat,"847 Jones Squares Suite 795, Jonesfort, NV 30393",07-07-2021 20:00,pollution,low,within 48 hours
4737,Crime Spree,crime wave,"43611 Wright Bridge, Lauraside, MD 43851",20-07-2023 17:11,criminal outbreak,moderate,within 48 hours
4738,Riot,disturbance,"964 Thompson Lane Apt. 650, Whitestad, TN 98654",20-12-2023 08:11,uprising,very high,within 18 hours
4739,Terrorist Attack,bombing,"31170 York Trail, New Darlene, LA 48366",10-10-2023 08:04,bombing,very low,within 6 hours
4740,Labor Strike,labor strike,"3241 King Underpass Suite 257, Underwoodfurt, AS 48431",13-09-2020 19:14,strike,very low,within 12 hours
4741,Crime Spree,lawlessness,"2796 Anderson Road Apt. 408, New Raymond, DE 62148",10-09-2022 15:28,lawlessness,high,within 48 hours
4742,Crime Spree,crime spree,"03908 Lauren Hill, Lake Michaelmouth, IL 58919",02-09-2023 12:39,lawlessness,very low,within 48 hours
4743,Crime Spree,criminal activity,"69082 Glenn Light, Johnsontown, CA 64930",10-10-2022 22:03,crime wave,very high,within 36 hours
4744,Civil War,insurgency,"711 Morris Run, Hollyland, AL 28900",20-08-2020 14:45,insurgency,moderate,within 24 hours
4745,Protest,march,"83264 Murray Creek, Gregorytown, VA 96314",12-05-2022 07:49,demonstration,moderate,within 18 hours
4746,Protest,strike,"4873 Frederick Plaza Apt. 940, North Anthony, NM 92217",09-11-2021 15:02,strike,moderate,within 18 hours
4747,Protest,rally,"49710 Woodard Estates, Gloverberg, MS 22007",15-11-2021 08:32,protest,moderate,within 36 hours
4748,Crime Spree,crime spree,"1968 Ryan Crossing Suite 646, West Susan, IA 10967",17-09-2020 11:42,crime wave,moderate,within 48 hours
4749,Labor Strike,worker protest,"33160 Stephen Flats, East Patricia, ID 90926",27-02-2023 00:07,labor strike,very low,within 6 hours
4750,Crime Spree,criminal outbreak,"375 Cooper Camp Suite 392, New Rebeccabury, OH 58311",02-05-2022 20:58,crime wave,very low,within 48 hours
4751,Civil War,insurgency,"1939 Tracy Corners Apt. 337, West Meganmouth, NC 60568",19-02-2020 11:59,civil war,moderate,within 24 hours
4752,Environmental Hazard,ecological threat,"1715 Gregory Estate Apt. 662, South Michael, NH 36111",29-03-2022 06:21,pollution,low,within 36 hours
4753,Protest,march,"49072 Ryan Springs Apt. 921, Frankfort, VA 76640",17-10-2020 04:42,demonstration,low,within 48 hours
4754,Labor Strike,worker protest,"317 Ayala Harbor Suite 185, Newmanview, RI 19382",01-12-2023 04:59,industrial action,very high,within 48 hours
4755,Terrorist Attack,terrorist attack,"5963 Mckinney Radial, Gallagherbury, DC 07010",03-11-2022 16:30,terrorism,low,within 12 hours
4756,Labor Strike,labor strike,"8256 Pierce Parkway, Richardshire, MP 22007",16-10-2020 15:29,worker protest,low,within 24 hours
4757,Crime Spree,crime spree,"PSC 0639, Box 5186, APO AA 72411",02-12-2021 11:37,crime wave,high,within 12 hours
4758,Terrorist Attack,armed assault,"4923 Thomas Villages, North Amanda, ID 89233",28-02-2021 23:35,bombing,moderate,within 48 hours
4759,Crime Spree,lawlessness,"77190 Washington Courts, Fordland, LA 90102",26-04-2023 03:18,criminal activity,moderate,within 48 hours
4760,Environmental Hazard,environmental hazard,"5513 Riley Passage Apt. 157, Smithfort, WI 12684",07-01-2021 18:06,environmental disaster,very high,within 24 hours
4761,Riot,riot,"33660 Garcia Parkways, South Joshua, AK 87188",17-09-2020 10:36,riot,low,within 6 hours
4762,Terrorist Attack,armed assault,"354 Evan Curve, East Danielshire, PW 06529",06-10-2021 15:40,armed assault,very high,within 6 hours
4763,Terrorist Attack,armed assault,"67893 Chavez Mission, New Christopherberg, FM 94540",06-12-2020 22:04,hostage crisis,very low,within 12 hours
4764,Public Health Emergency,outbreak,"618 Velazquez Loop Apt. 408, West James, FM 91447",24-04-2023 16:24,outbreak,very high,within 36 hours
4765,Protest,strike,"130 Mary Views Suite 062, East Andrewfort, DE 94229",02-05-2021 06:40,demonstration,low,within 6 hours
4766,Terrorist Attack,bombing,"57607 Norman Parkways Suite 024, South Emilyport, OK 91378",29-12-2021 12:03,terrorism,very high,within 18 hours
4767,Labor Strike,industrial action,"PSC 7857, Box 2277, APO AA 29971",11-01-2021 06:20,labor strike,very high,within 18 hours
4768,Crime Spree,lawlessness,"818 Yu Locks, New Tiffanyland, CA 65076",09-01-2021 02:59,lawlessness,low,within 24 hours
4769,Riot,uprising,"211 David Plains Apt. 975, Katherinechester, MN 90824",24-11-2022 12:08,violent protest,low,within 12 hours
4770,Environmental Hazard,environmental hazard,"688 Patricia Field Apt. 099, Lake Randy, PA 55579",29-12-2022 11:41,ecological threat,moderate,within 36 hours
4771,Terrorist Attack,armed assault,"71181 Adams Common, Lopezborough, RI 91060",21-04-2023 04:08,hostage crisis,very low,within 48 hours
4772,Labor Strike,labor dispute,"18062 Pruitt Hill Apt. 578, Jonesville, WA 38823",28-04-2021 19:20,industrial action,very low,within 6 hours
4773,Crime Spree,criminal outbreak,"536 Matthew Station Suite 609, Johnland, NH 43398",20-05-2022 11:16,crime wave,high,within 36 hours
4774,Crime Spree,crime wave,"73272 Wright Highway Suite 121, South Angela, KY 47186",04-09-2021 21:47,crime spree,low,within 18 hours
4775,Environmental Hazard,pollution,"0016 Xavier Rapid, East Wendytown, MH 15896",18-04-2022 17:10,environmental hazard,moderate,within 36 hours
4776,Protest,strike,"08581 Reyes Islands Apt. 805, Salaston, AK 66549",09-08-2021 20:17,rally,very high,within 12 hours
4777,Riot,civil unrest,"497 Lisa Estate Apt. 115, Port Robert, HI 60556",28-08-2023 13:42,riot,very high,within 36 hours
4778,Environmental Hazard,environmental disaster,"4482 Santos Rue, Aprilmouth, MS 28098",20-12-2021 07:36,environmental hazard,very high,within 24 hours
4779,Environmental Hazard,environmental hazard,"6873 Lacey Well, Katiefort, AR 05624",25-10-2023 17:09,toxic contamination,moderate,within 24 hours
4780,Riot,disturbance,"16207 Tiffany Lake, Port Paulport, MH 77441",30-04-2023 21:46,disturbance,low,within 48 hours
4781,Labor Strike,labor strike,"1310 Brandon Gateway Suite 853, Alexisbury, NH 87115",31-12-2021 08:47,worker protest,very high,within 18 hours
4782,Terrorist Attack,armed assault,"295 Bailey Viaduct Apt. 292, Jamesshire, OK 26233",26-11-2023 08:58,bombing,moderate,within 18 hours
4783,Labor Strike,strike,"192 Scott Manor, South Daniellestad, IA 68071",21-06-2020 17:04,labor strike,very low,within 18 hours
4784,Protest,protest,"459 Brooke Islands, Gonzaleztown, GA 23025",09-06-2021 23:05,demonstration,low,within 6 hours
4785,Terrorist Attack,armed assault,"25164 Miller Fork, South Laura, NM 48665",14-02-2024 02:10,hostage crisis,high,within 24 hours
4786,Public Health Emergency,epidemic,"4498 Soto Turnpike Suite 655, North Steven, ID 02892",14-04-2021 17:49,outbreak,high,within 6 hours
4787,Environmental Hazard,ecological threat,"76533 Mclaughlin Well, Jessicaland, CT 85478",19-11-2023 19:18,environmental disaster,high,within 48 hours
4788,Riot,riot,"PSC 0071, Box 1616, APO AA 53206",10-03-2022 02:52,uprising,very high,within 6 hours
4789,Protest,rally,"1102 Nathan Port Suite 897, Sparksport, WY 30726",02-12-2021 13:47,march,very high,within 6 hours
4790,Protest,rally,"315 Knight Drive, Ashleyberg, GA 68224",05-03-2021 19:47,rally,very high,within 6 hours
4791,Civil War,conflict,"PSC 6283, Box 7665, APO AA 35935",06-04-2023 09:48,insurgency,high,within 48 hours
4792,Environmental Hazard,pollution,"USCGC Munoz, FPO AP 10651",21-01-2021 00:37,ecological threat,moderate,within 18 hours
4793,Public Health Emergency,health crisis,"2058 Jacqueline Islands, Garciaburgh, DE 68540",22-11-2023 18:20,pandemic,low,within 18 hours
4794,Terrorist Attack,hostage crisis,"4731 Maria Ville Suite 520, East Carrie, NJ 23410",06-11-2023 02:47,hostage crisis,very low,within 48 hours
4795,Protest,march,"06803 Klein Parkway, Normanfort, DC 19606",16-05-2023 03:53,march,very high,within 48 hours
4796,Environmental Hazard,ecological threat,"4067 Little Dam, West Mollyhaven, DC 79876",03-10-2020 21:52,toxic contamination,very low,within 12 hours
4797,Public Health Emergency,public health emergency,"95643 Roach Mission, New Cody, CO 53443",02-07-2020 00:50,outbreak,low,within 6 hours
4798,Riot,disturbance,"409 Ramsey Course, Garzaburgh, OH 58929",13-09-2021 17:40,violent protest,very low,within 12 hours
4799,Environmental Hazard,pollution,"82181 Scott Walks Apt. 029, West Michelleland, WY 07496",19-05-2021 01:20,pollution,low,within 18 hours
4800,Environmental Hazard,environmental disaster,"764 Cochran Gateway Apt. 096, Rogersmouth, NV 59679",18-02-2021 07:32,ecological threat,high,within 6 hours
4801,Protest,demonstration,"30286 James Walk Suite 539, Lake Robertmouth, CA 63996",28-05-2022 06:27,rally,low,within 48 hours
4802,Crime Spree,crime wave,"090 Joshua Path, New Jeremybury, TN 32654",18-11-2021 03:36,criminal outbreak,very low,within 18 hours
4803,Civil War,warfare,"68530 Deborah Cliff Suite 842, Harrismouth, VI 06831",09-12-2020 03:39,armed conflict,very low,within 6 hours
4804,Public Health Emergency,pandemic,"717 Edwards Lock Apt. 335, West Kathrynville, VA 35663",05-10-2022 14:51,epidemic,low,within 36 hours
4805,Riot,uprising,"98853 Green Rue, Kimmouth, RI 75073",12-01-2021 22:59,violent protest,moderate,within 18 hours
4806,Riot,violent protest,"Unit 7721 Box 9394, DPO AA 78942",06-01-2024 14:27,disturbance,low,within 12 hours
4807,Public Health Emergency,epidemic,"50520 Boyle Isle Apt. 582, Port Jennifertown, SC 08042",01-11-2021 13:27,epidemic,low,within 48 hours
4808,Labor Strike,worker protest,"USNS Monroe, FPO AP 47728",13-06-2021 10:51,labor strike,very low,within 6 hours
4809,Crime Spree,criminal outbreak,"66721 Kimberly Divide Suite 003, Lauraburgh, SD 89160",03-04-2021 10:44,criminal activity,very low,within 6 hours
4810,Terrorist Attack,hostage crisis,"4321 Paul Turnpike, Nelsonchester, TN 43245",01-03-2021 15:22,bombing,high,within 6 hours
4811,Environmental Hazard,environmental hazard,"Unit 0315 Box 9101, DPO AP 34394",09-12-2023 03:27,environmental hazard,very low,within 6 hours
4812,Public Health Emergency,pandemic,"559 Martin Square, Lake Kerry, UT 26623",27-03-2021 08:14,outbreak,low,within 24 hours
4813,Riot,civil unrest,"6267 Rhodes Hills Suite 796, Ferrellmouth, VT 53156",31-07-2022 06:52,civil unrest,very high,within 6 hours
4814,Labor Strike,labor dispute,"5791 Smith Loaf, Troyhaven, VT 01680",16-06-2022 10:31,strike,very low,within 48 hours
4815,Civil War,conflict,"188 Greer Roads Apt. 274, Markberg, NY 98116",30-04-2022 05:24,armed conflict,high,within 48 hours
4816,Terrorist Attack,armed assault,"3124 Katherine Glen Apt. 453, Lake Jacqueline, ND 04896",12-05-2022 08:14,bombing,high,within 48 hours
4817,Terrorist Attack,bombing,"040 Davis View, Mosshaven, NE 42729",06-12-2020 13:13,terrorist attack,very low,within 6 hours
4818,Environmental Hazard,toxic contamination,"Unit 8819 Box 0075, DPO AE 08495",17-10-2022 07:27,environmental disaster,high,within 48 hours
4819,Protest,march,"14263 Angelica Island, Hodgesville, OK 89900",10-10-2023 05:23,march,very low,within 48 hours
4820,Labor Strike,industrial action,"3044 Vega Stravenue, New Dana, WY 47396",21-11-2020 17:39,labor strike,high,within 6 hours
4821,Public Health Emergency,public health emergency,"586 Judy Grove Suite 958, Melindaport, MN 33190",26-01-2024 07:03,pandemic,low,within 12 hours
4822,Environmental Hazard,environmental disaster,"863 Keith Fort, Alexandraborough, NH 52974",04-10-2023 13:11,toxic contamination,high,within 18 hours
4823,Public Health Emergency,outbreak,"411 Mcintyre Plains Apt. 472, Mejiaville, ID 55365",22-11-2023 02:14,pandemic,very high,within 12 hours
4824,Riot,riot,"04816 Daniel Village Apt. 734, Kellyport, NM 44616",19-11-2020 10:49,violent protest,very high,within 6 hours
4825,Civil War,civil war,"555 Thompson Dam Suite 398, Davidburgh, VI 15768",13-01-2022 15:57,warfare,low,within 6 hours
4826,Terrorist Attack,hostage crisis,"5428 Walsh Rapids Suite 633, Cynthiaview, KY 85565",04-06-2023 14:40,hostage crisis,high,within 36 hours
4827,Protest,strike,"26279 Stephanie Keys Suite 861, New Kevin, NJ 10527",19-02-2020 16:56,rally,very high,within 6 hours
4828,Riot,violent protest,"Unit 7518 Box 4014, DPO AP 11133",18-09-2020 01:38,riot,very high,within 48 hours
4829,Crime Spree,crime spree,"09129 Michelle Ville Apt. 330, Harrischester, PR 85291",28-11-2021 05:12,lawlessness,moderate,within 36 hours
4830,Public Health Emergency,health crisis,"0562 Buckley Trail Apt. 415, Lake Troyburgh, MP 17184",18-01-2022 17:20,outbreak,low,within 12 hours
4831,Civil War,conflict,"USNS Wong, FPO AP 58911",25-12-2023 11:25,civil war,high,within 18 hours
4832,Riot,riot,"547 Bryan Underpass Apt. 196, Michelefort, KY 77367",18-03-2021 19:24,civil unrest,high,within 12 hours
4833,Environmental Hazard,ecological threat,"6658 Shaun Motorway, Port Nicholas, OH 88460",10-04-2022 04:27,environmental disaster,moderate,within 18 hours
4834,Environmental Hazard,environmental hazard,"USNS Rogers, FPO AP 34618",26-01-2020 02:17,pollution,high,within 48 hours
4835,Crime Spree,crime spree,"Unit 8531 Box 0430, DPO AE 92851",28-07-2021 11:39,criminal outbreak,very high,within 36 hours
4836,Environmental Hazard,toxic contamination,"66333 Wong Drives, Lake Lynnberg, MH 10625",22-05-2021 23:13,environmental disaster,very low,within 24 hours
4837,Civil War,conflict,"289 Mitchell Avenue Suite 871, East Benjaminmouth, DC 45375",30-05-2021 09:06,insurgency,very low,within 12 hours
4838,Terrorist Attack,terrorist attack,"76177 Berry Shoals, Fredchester, FL 91886",17-06-2020 02:09,terrorist attack,very low,within 48 hours
4839,Terrorist Attack,hostage crisis,"16609 Martinez Springs, Jakeburgh, MS 03547",01-03-2024 12:55,terrorism,moderate,within 36 hours
4840,Riot,riot,"70755 Washington Trail, West Vanessafurt, NV 44174",10-01-2024 09:35,disturbance,low,within 36 hours
4841,Riot,civil unrest,"16838 Hayes Mountains Suite 299, West Amy, IA 28013",15-10-2021 04:25,disturbance,very high,within 36 hours
4842,Civil War,armed conflict,"365 Willie Unions Apt. 451, Delacruzton, PA 02924",10-09-2022 07:57,civil war,very low,within 36 hours
4843,Civil War,warfare,"1799 Hill Street Apt. 738, Murrayview, AZ 52866",22-05-2020 11:41,civil war,high,within 18 hours
4844,Civil War,conflict,"309 Arnold Ridges, Hannahland, NC 22095",06-08-2020 18:31,armed conflict,high,within 12 hours
4845,Labor Strike,labor dispute,"USNV Larson, FPO AA 48385",13-05-2020 17:40,worker protest,very low,within 6 hours
4846,Terrorist Attack,armed assault,"PSC 5379, Box 9646, APO AP 88739",16-09-2021 18:54,hostage crisis,moderate,within 48 hours
4847,Environmental Hazard,toxic contamination,"77262 Patterson Mills Apt. 442, North Julianside, MH 15303",13-03-2024 08:43,environmental disaster,high,within 48 hours
4848,Public Health Emergency,public health emergency,"2831 Daniel Park, Taraberg, MI 37016",09-01-2022 03:22,public health emergency,low,within 36 hours
4849,Labor Strike,industrial action,"15907 Ernest Terrace Apt. 616, Haroldmouth, NY 47992",30-01-2023 02:33,industrial action,very low,within 24 hours
4850,Crime Spree,crime spree,"533 Wiley Vista, Guerrerofort, DE 12919",20-06-2023 19:48,lawlessness,very low,within 48 hours
4851,Riot,civil unrest,"471 Anthony Tunnel Apt. 498, Jameshaven, OK 95329",06-03-2023 23:48,civil unrest,moderate,within 48 hours
4852,Crime Spree,criminal outbreak,"7946 Ryan Fords, Buchananhaven, IL 40253",29-07-2021 16:09,criminal outbreak,very low,within 6 hours
4853,Environmental Hazard,toxic contamination,"7936 Thomas Way Apt. 732, Shannonbury, PR 97294",10-07-2020 16:47,environmental disaster,very low,within 36 hours
4854,Environmental Hazard,toxic contamination,"44687 Olson Radial Suite 633, Phillipschester, HI 72530",18-12-2021 13:02,pollution,moderate,within 6 hours
4855,Terrorist Attack,bombing,"5062 Kimberly Mill Suite 834, South Timothybury, AR 90181",28-11-2022 10:26,armed assault,very low,within 18 hours
4856,Protest,rally,"1801 Taylor Keys, Port Peterberg, VA 42075",31-08-2021 11:36,strike,very high,within 18 hours
4857,Labor Strike,strike,"36745 Thompson Circle, Villanuevashire, OK 29701",15-10-2022 01:22,worker protest,moderate,within 36 hours
4858,Civil War,conflict,"5892 Williams Gateway Apt. 216, Amyton, PA 01368",15-10-2020 04:16,civil war,high,within 24 hours
4859,Public Health Emergency,epidemic,"3923 Susan Orchard, New Jeremy, GA 45648",11-11-2021 23:04,health crisis,high,within 48 hours
4860,Terrorist Attack,bombing,"3463 Walker Glen Apt. 820, Smithshire, OH 51579",25-09-2021 11:42,hostage crisis,low,within 12 hours
4861,Civil War,warfare,"PSC 3995, Box 4076, APO AA 80682",02-07-2020 03:53,civil war,moderate,within 24 hours
4862,Public Health Emergency,health crisis,"842 Rhonda Park, Gonzalezton, NJ 32065",27-03-2022 03:59,health crisis,very low,within 18 hours
4863,Labor Strike,worker protest,"30897 Smith Highway Apt. 377, Petersonstad, IN 41945",12-01-2020 05:18,industrial action,low,within 18 hours
4864,Environmental Hazard,ecological threat,"Unit 5778 Box 8832, DPO AE 73949",02-03-2023 03:42,environmental hazard,high,within 18 hours
4865,Terrorist Attack,armed assault,"556 Woodward Parkway, Hawkinsside, NJ 84079",20-03-2024 19:00,terrorism,low,within 36 hours
4866,Environmental Hazard,toxic contamination,"7807 West Shores, Jimenezborough, MT 04724",23-04-2020 21:49,toxic contamination,high,within 24 hours
4867,Terrorist Attack,hostage crisis,"9616 Lauren Manor Apt. 048, New Edward, KS 20634",11-04-2022 23:08,bombing,high,within 12 hours
4868,Environmental Hazard,environmental disaster,"300 Oliver Spring, East Andrew, IA 49916",01-07-2021 02:28,environmental disaster,moderate,within 18 hours
4869,Terrorist Attack,hostage crisis,"675 William Forges Suite 144, Port Mark, MI 06892",19-03-2021 03:06,armed assault,very low,within 48 hours
4870,Riot,disturbance,"414 Phillips Courts, Josephshire, NC 01078",26-03-2022 12:05,uprising,low,within 18 hours
4871,Public Health Emergency,health crisis,"95706 Diaz Unions, Brownville, MS 92611",21-09-2022 06:30,public health emergency,high,within 24 hours
4872,Environmental Hazard,toxic contamination,"USS Holland, FPO AA 51304",28-07-2021 21:36,environmental disaster,very low,within 6 hours
4873,Labor Strike,industrial action,"USNV Smith, FPO AA 81215",01-03-2024 11:08,strike,very high,within 6 hours
4874,Riot,disturbance,"6256 Holland Bridge, Bellborough, GU 06928",23-11-2020 13:42,disturbance,very high,within 24 hours
4875,Public Health Emergency,outbreak,"811 Tina Flat, Onealfurt, SD 54562",05-09-2023 19:49,epidemic,very high,within 18 hours
4876,Public Health Emergency,health crisis,"1643 Nathaniel Meadow, Benjaminmouth, HI 52402",01-03-2024 10:10,public health emergency,moderate,within 12 hours
4877,Labor Strike,strike,"69441 Jackson Mountain, East Eugenechester, MT 47126",25-06-2021 08:14,worker protest,very high,within 48 hours
4878,Protest,march,"157 Stanton Flat, Johnton, WY 52994",11-01-2020 04:41,strike,low,within 24 hours
4879,Civil War,armed conflict,"533 Marshall Shoals Apt. 851, New Catherine, IL 49589",24-08-2020 13:42,civil war,moderate,within 18 hours
4880,Labor Strike,worker protest,"86658 Morrison Circles Suite 903, Port Lukeland, OH 44817",01-01-2022 11:00,labor dispute,low,within 18 hours
4881,Riot,violent protest,"1484 Patterson Groves Apt. 435, East Nancy, NY 27677",25-03-2022 04:30,civil unrest,very high,within 48 hours
4882,Protest,protest,"554 Scott Creek Suite 040, East Zacharyshire, MO 86494",08-05-2020 17:03,march,very low,within 36 hours
4883,Environmental Hazard,environmental hazard,"65490 Melinda Freeway, Danielbury, TX 09511",14-06-2022 18:16,environmental hazard,low,within 6 hours
4884,Riot,civil unrest,"44654 Paul Summit, Jonesburgh, MA 30586",23-12-2021 18:01,civil unrest,low,within 12 hours
4885,Terrorist Attack,bombing,"96265 Proctor Spur Apt. 769, Lake Lynn, WY 61721",12-12-2023 07:40,armed assault,very high,within 24 hours
4886,Riot,uprising,"65679 Brown Path, Duncanmouth, SC 48701",09-11-2021 19:40,riot,very high,within 6 hours
4887,Civil War,insurgency,"47945 David Stream Suite 766, Port Kelliport, PA 15832",09-10-2021 15:12,civil war,very low,within 24 hours
4888,Public Health Emergency,pandemic,"45217 Anthony Road Suite 717, West Nicoleland, PW 16748",14-09-2020 01:58,outbreak,very low,within 6 hours
4889,Crime Spree,crime wave,"267 Roy Fords Suite 681, North Jason, PR 65680",28-01-2020 18:43,crime wave,moderate,within 12 hours
4890,Protest,demonstration,"Unit 5891 Box 9800, DPO AP 09162",26-04-2021 14:20,protest,moderate,within 48 hours
4891,Public Health Emergency,health crisis,"PSC 1967, Box 5734, APO AP 56521",25-06-2020 19:50,pandemic,moderate,within 36 hours
4892,Crime Spree,criminal outbreak,"03669 William Vista, Ryanshire, DE 79108",23-12-2022 14:19,crime spree,high,within 6 hours
4893,Terrorist Attack,terrorist attack,"72416 Lisa Divide Apt. 310, East Barbara, DE 58555",22-01-2021 04:11,hostage crisis,very low,within 36 hours
4894,Protest,march,"7201 Aaron Mission Apt. 123, Francisberg, UT 42167",09-02-2024 01:32,march,low,within 24 hours
4895,Riot,riot,"501 Patricia Pass Suite 716, Anthonyberg, PR 85100",04-03-2021 03:43,uprising,high,within 18 hours
4896,Labor Strike,worker protest,"803 Rodriguez Spur Apt. 544, Sullivanfurt, FM 02576",11-04-2022 05:20,labor dispute,very low,within 36 hours
4897,Civil War,armed conflict,"655 David Loaf Suite 442, Lake Cheryl, WA 39665",19-05-2023 10:55,insurgency,high,within 18 hours
4898,Civil War,warfare,"689 Campbell Springs Suite 218, Larryside, LA 29036",09-09-2020 10:48,armed conflict,low,within 6 hours
4899,Riot,civil unrest,"775 Ortiz Drives, Hallbury, MO 18530",21-03-2022 03:38,uprising,very high,within 12 hours
4900,Public Health Emergency,public health emergency,"76821 Crystal Motorway Suite 661, Martinezchester, DE 49341",01-05-2020 19:41,pandemic,very low,within 36 hours
4901,Environmental Hazard,ecological threat,"60708 Cunningham Camp, Tylerhaven, PW 50518",18-04-2022 21:23,ecological threat,very high,within 24 hours
4902,Crime Spree,criminal outbreak,"38522 Gary Shoal Suite 339, Owensmouth, IA 01451",20-08-2023 21:25,crime wave,high,within 24 hours
4903,Protest,demonstration,"6814 Ramirez Forge Suite 344, Howardberg, VT 70432",06-01-2023 20:18,protest,very low,within 48 hours
4904,Protest,march,"822 Kendra Cliff, Patelville, GA 17353",03-02-2024 14:44,protest,moderate,within 6 hours
4905,Terrorist Attack,terrorism,"USNS King, FPO AE 79632",05-11-2020 11:43,hostage crisis,low,within 48 hours
4906,Environmental Hazard,environmental disaster,"50329 Jennifer Branch, West Crystal, GU 28339",24-06-2023 02:39,environmental hazard,very high,within 6 hours
4907,Crime Spree,criminal activity,"48286 Willie Highway, Longbury, MA 64677",05-01-2024 18:11,crime spree,very low,within 36 hours
4908,Riot,civil unrest,"24417 Hill Valley, Browningberg, NE 39517",12-01-2022 15:56,riot,moderate,within 24 hours
4909,Riot,disturbance,"65238 Thompson Brooks Suite 507, Markfurt, CA 30555",10-12-2023 22:12,uprising,very high,within 18 hours
4910,Environmental Hazard,toxic contamination,"921 Renee Wells Suite 179, Karenburgh, SC 45717",25-04-2020 06:34,environmental hazard,low,within 36 hours
4911,Environmental Hazard,environmental disaster,"8043 Janet Wall, North Jeffreyton, CA 70605",05-02-2022 06:40,environmental hazard,very high,within 6 hours
4912,Riot,civil unrest,"726 Jamie Tunnel, Danielchester, UT 89063",13-05-2023 04:43,disturbance,very low,within 6 hours
4913,Labor Strike,worker protest,"4768 Richard Haven, Johnfort, UT 04990",27-04-2021 03:24,labor strike,low,within 18 hours
4914,Environmental Hazard,ecological threat,"8162 Padilla Knolls, Lake John, MT 03146",27-10-2023 10:09,pollution,very low,within 6 hours
4915,Public Health Emergency,outbreak,"80709 Rice Vista, Kariview, TX 79222",12-06-2021 18:52,epidemic,high,within 48 hours
4916,Protest,rally,"45426 Cory Crest, South Christopher, TX 37024",22-09-2020 22:32,rally,high,within 48 hours
4917,Protest,rally,"22794 Powers Lodge, Vincentmouth, NY 29019",24-08-2021 00:54,demonstration,low,within 18 hours
4918,Public Health Emergency,pandemic,"816 James Summit, Klinemouth, FL 62405",20-06-2022 20:47,epidemic,very low,within 36 hours
