Crisis ID,Type of Scarcity Crisis,What,Where,When,How,Severity,Duration
4919,Food Scarcity,food scarcity,"561 Peterson Drive Suite 933, Martinezborough, WA 26385",08-03-2024 03:01:09,hunger crisis,very low,within 72 hours
4920,Food Scarcity,shortage of food,"9074 Davenport Brooks Suite 970, Bensonborough, NJ 40923",13-04-2021 08:23:15,famine,high,within 12 hours
4921,Food Scarcity,hunger crisis,"588 Justin Falls, Cruzfort, HI 34750",25-04-2021 16:30:00,food scarcity,very high,within 9 hours
4922,Fuel Scarcity,energy crisis,"25036 David Forest Apt. 774, Port Victoriaborough, ID 68590",27-03-2020 04:29:33,shortage of fuel,very low,within 7 hours
4923,Water Scarcity,lack of clean water,"596 Lauren Lodge Suite 022, Johnton, NJ 46973",09-07-2020 11:58:23,drought,high,within 5 hours
4924,Medical Supplies Scarcity,shortage of medical equipment,"8503 Richardson Rapid, Leahport, PR 90261",14-10-2022 05:58:52,lack of medicines,low,within 9 hours
4925,Energy Scarcity,lack of electricity,"USNV Bell, FPO AA 40704",15-06-2022 19:29:27,lack of electricity,very low,within 18 hours
4926,Medical Supplies Scarcity,medical supply shortage,"558 Patel Mews, Jessicashire, PA 56769",26-02-2022 06:36:52,medical supplies scarcity,low,within 48 hours
4927,Fuel Scarcity,energy crisis,"21828 Justin Ferry, Port Maryland, PA 38892",20-02-2024 11:29:38,shortage of fuel,high,within 5 hours
4928,Medical Supplies Scarcity,medical supplies scarcity,"784 Lowery Points Apt. 260, New Edwardburgh, NH 27319",27-10-2021 02:26:45,shortage of medical equipment,very high,within 9 hours
4929,Energy Scarcity,lack of electricity,"85380 Katie Harbor Suite 628, East Patrick, NM 08483",07-10-2021 04:59:18,energy scarcity,low,within 5 hours
4930,Water Scarcity,shortage of water,"0873 Dorothy Summit Suite 995, New Johnathan, NE 07901",08-04-2021 01:30:48,shortage of water,moderate,within 9 hours
4931,Water Scarcity,water scarcity,"47350 Robert Flats Suite 476, Jenkinsburgh, DC 54021",25-06-2020 14:43:19,water scarcity,very high,within 24 hours
4932,Energy Scarcity,energy crisis,"970 Martin Causeway, New Natashaport, GA 23336",10-11-2020 19:50:08,energy scarcity,moderate,within 9 hours
4933,Energy Scarcity,shortage of energy,"679 John Corners Apt. 939, Englishburgh, AK 76394",05-07-2021 17:39:13,shortage of energy,very low,within 7 hours
4934,Food Scarcity,shortage of food,"3169 Lewis Landing Suite 302, Benjaminburgh, UT 71097",24-01-2022 14:07:29,food scarcity,very low,within 24 hours
4935,Fuel Scarcity,fuel supply disruption,"USNV Sanchez, FPO AP 72536",03-01-2023 12:23:39,petrol shortage,high,within 9 hours
4936,Food Scarcity,food scarcity,"6180 George Route Suite 252, Jenniferfort, DE 18398",28-03-2021 03:59:30,food insecurity,low,within 18 hours
4937,Food Scarcity,food scarcity,"30993 Tammy Road, Jakeshire, NJ 34037",31-08-2020 15:06:25,food insecurity,moderate,within 24 hours
4938,Medical Supplies Scarcity,lack of medicines,"94219 Timothy Ridges Apt. 064, West Carly, ME 49259",24-11-2020 12:28:13,medical supply shortage,high,within 24 hours
4939,Water Scarcity,water scarcity,"7031 Raymond Gateway, Lake Matthew, NH 65820",25-01-2024 00:51:00,drought,moderate,within 72 hours
4940,Water Scarcity,shortage of water,"068 Russo Way, East Chrismouth, DC 63504",08-05-2023 04:58:10,shortage of water,low,within 12 hours
4941,Water Scarcity,water scarcity,"7839 Chad Valley Apt. 940, Robertview, OR 69682",11-03-2020 10:08:31,drought,very low,within 24 hours
4942,Fuel Scarcity,fuel supply disruption,"USS Thompson, FPO AE 53058",05-02-2020 18:48:22,petrol shortage,high,within 9 hours
4943,Water Scarcity,water scarcity,"16527 Walker Fords Apt. 910, Robertville, CA 97876",28-03-2024 04:52:02,shortage of water,moderate,within 18 hours
4944,Food Scarcity,famine,"PSC 1841, Box 9561, APO AA 44754",28-12-2022 02:15:01,food insecurity,high,within 18 hours
4945,Food Scarcity,shortage of food,"PSC 6573, Box 6404, APO AA 61664",20-03-2024 04:37:35,shortage of food,very high,within 18 hours
4946,Food Scarcity,shortage of food,"5810 Brian Forges, South Staceyhaven, NH 45978",23-06-2023 01:05:10,famine,low,within 9 hours
4947,Energy Scarcity,power outage,"060 Thornton Brook Apt. 219, Sandrafurt, AZ 16996",17-12-2023 15:52:01,energy scarcity,very low,within 48 hours
4948,Food Scarcity,famine,"014 Elizabeth Shoal Suite 770, Lake Allisontown, MN 10890",03-04-2021 22:36:52,hunger crisis,high,within 9 hours
4949,Energy Scarcity,energy crisis,"Unit 2075 Box 7195, DPO AE 99499",09-10-2023 06:41:39,lack of electricity,high,within 12 hours
4950,Water Scarcity,drought,"58322 Harris Plaza Apt. 358, Kingchester, CA 55810",15-10-2021 14:35:35,water crisis,very low,within 9 hours
4951,Fuel Scarcity,shortage of fuel,"23718 Richardson Ford, Lake Tanyashire, NE 70538",04-01-2020 08:02:12,energy crisis,low,within 72 hours
4952,Energy Scarcity,energy scarcity,"06407 Dawson Shores Apt. 201, New Evelyn, TN 76225",30-06-2022 04:23:08,energy crisis,moderate,within 5 hours
4953,Energy Scarcity,shortage of energy,"3391 Nicholas Mountains Apt. 166, Port Christinetown, AR 19583",31-01-2020 17:25:19,energy crisis,very high,within 24 hours
4954,Energy Scarcity,power outage,"374 Amy Meadow, West Matthewbury, NY 06943",22-11-2021 09:27:39,shortage of energy,high,within 12 hours
4955,Water Scarcity,lack of clean water,"370 Larson Mission, Victormouth, CT 98170",02-10-2022 08:44:23,drought,high,within 72 hours
4956,Water Scarcity,drought,"19716 Gordon Common Apt. 096, Morgantown, OK 85508",27-12-2022 16:38:31,shortage of water,high,within 7 hours
4957,Fuel Scarcity,fuel scarcity,"247 Trujillo Track, Marchaven, IL 91045",07-06-2020 03:13:31,fuel supply disruption,very high,within 72 hours
4958,Fuel Scarcity,fuel supply disruption,"4166 Hudson Motorway Suite 301, West Codyberg, OK 92221",05-05-2020 01:04:05,petrol shortage,very high,within 18 hours
4959,Water Scarcity,water scarcity,"2030 Manuel Brooks, Watsonland, OR 24776",06-08-2022 07:58:06,shortage of water,very high,within 7 hours
4960,Fuel Scarcity,fuel scarcity,"89149 Tara Trail, Lisaberg, UT 53512",23-05-2022 20:50:15,shortage of fuel,very low,within 5 hours
4961,Medical Supplies Scarcity,medical supply shortage,"652 Wright Pass Suite 680, South Amandaville, VT 05558",01-06-2023 20:49:02,medical supplies scarcity,low,within 7 hours
4962,Energy Scarcity,power outage,"4564 Smith Glen Suite 765, Lake Stephaniefort, DC 11077",19-11-2022 04:44:57,energy scarcity,very high,within 72 hours
4963,Food Scarcity,food insecurity,"5802 Randy Lane, Lake Luketown, PR 28200",17-11-2023 08:49:54,famine,very low,within 7 hours
4964,Food Scarcity,food scarcity,"66025 Mcdonald Pine Suite 854, Kennethborough, MH 76219",30-06-2022 13:45:45,food scarcity,very low,within 24 hours
4965,Water Scarcity,water crisis,"325 Angela Wells, Trevorchester, WY 96033",18-04-2023 08:12:23,drought,very low,within 9 hours
4966,Medical Supplies Scarcity,medical supplies scarcity,"USNV Conrad, FPO AA 02297",22-06-2021 04:17:04,healthcare crisis,very high,within 48 hours
4967,Medical Supplies Scarcity,medical supplies scarcity,"94708 Jackson Groves Apt. 041, Torresside, KS 84730",10-09-2020 19:54:49,medical supplies scarcity,low,within 7 hours
4968,Medical Supplies Scarcity,lack of medicines,"85225 Morton Place, Millerchester, CA 89986",15-01-2022 22:17:55,shortage of medical equipment,high,within 18 hours
4969,Energy Scarcity,energy crisis,"0668 Hanson Skyway Apt. 613, East Jessicafurt, MP 92329",10-02-2021 07:55:21,power outage,very low,within 9 hours
4970,Fuel Scarcity,fuel scarcity,"839 Holly Grove, North Barbarahaven, NV 50253",14-03-2023 21:21:11,energy crisis,very low,within 9 hours
4971,Medical Supplies Scarcity,medical supplies scarcity,"04644 Reed Meadow Apt. 403, Lindseyland, MI 83101",04-12-2021 14:47:36,lack of medicines,high,within 24 hours
4972,Food Scarcity,hunger crisis,"8401 Sarah Terrace Suite 663, Dennisborough, MO 38863",08-03-2020 07:45:04,famine,moderate,within 48 hours
4973,Water Scarcity,drought,"35589 Walker Trafficway Suite 754, Hallview, MN 38264",07-09-2022 14:43:58,water crisis,high,within 72 hours
4974,Water Scarcity,shortage of water,"10574 Moody Plaza, West Michael, MI 86095",01-01-2020 02:12:17,lack of clean water,very low,within 5 hours
4975,Energy Scarcity,energy scarcity,"888 Martinez Parkways, Reedbury, AR 93882",15-11-2022 11:22:09,energy scarcity,very low,within 48 hours
4976,Food Scarcity,shortage of food,"0589 Todd Orchard Apt. 603, Oscarchester, LA 04255",30-04-2023 18:03:08,food insecurity,very high,within 12 hours
4977,Energy Scarcity,shortage of energy,"40949 Jerry Fords, Randallville, TN 01565",28-04-2020 16:39:21,shortage of energy,very high,within 12 hours
4978,Water Scarcity,lack of clean water,"65148 Amanda Glens, Lake Erica, VA 27854",18-09-2021 02:30:09,water crisis,very high,within 12 hours
4979,Energy Scarcity,lack of electricity,"USNV Obrien, FPO AA 08889",12-09-2022 10:53:31,energy scarcity,low,within 24 hours
4980,Medical Supplies Scarcity,healthcare crisis,"042 Martin Prairie, Kingburgh, VT 16189",16-05-2021 10:34:49,lack of medicines,very high,within 48 hours
4981,Energy Scarcity,lack of electricity,"PSC 9391, Box 7409, APO AA 30996",09-01-2020 14:44:42,energy crisis,very high,within 9 hours
4982,Energy Scarcity,lack of electricity,"USNV Riley, FPO AE 35887",27-06-2022 12:05:09,shortage of energy,very high,within 5 hours
4983,Fuel Scarcity,fuel scarcity,"9913 Alexander Mill, Lake Robertville, KY 53750",20-03-2023 07:53:02,energy crisis,very low,within 24 hours
4984,Fuel Scarcity,petrol shortage,"96653 Floyd Falls Suite 743, Fuentesview, CT 47503",15-03-2023 13:08:54,petrol shortage,moderate,within 5 hours
4985,Energy Scarcity,lack of electricity,"15675 Sandy Lane, Lanceview, SD 17102",12-07-2022 14:16:29,lack of electricity,very low,within 48 hours
4986,Energy Scarcity,energy scarcity,"5482 Gordon Manors Suite 111, Bakerstad, KY 62541",22-07-2023 06:48:33,energy scarcity,very high,within 72 hours
4987,Energy Scarcity,shortage of energy,"728 Chad Mountains Apt. 624, Delacruzburgh, CO 33737",29-01-2024 02:02:37,lack of electricity,moderate,within 24 hours
4988,Food Scarcity,hunger crisis,"67081 Steven Manors Apt. 271, Matthewsville, NC 09675",22-11-2023 04:54:38,hunger crisis,very high,within 24 hours
4989,Energy Scarcity,shortage of energy,"141 Michael Motorway, Jasonshire, CA 89296",20-10-2023 09:35:28,power outage,very high,within 5 hours
4990,Energy Scarcity,power outage,"671 Aaron Lodge, Davismouth, IN 41722",20-12-2022 20:44:30,lack of electricity,very high,within 7 hours
4991,Water Scarcity,lack of clean water,"8784 Paul Cliffs Suite 765, South Thomas, HI 45718",14-03-2024 11:12:54,water crisis,low,within 5 hours
4992,Water Scarcity,water scarcity,"557 Benjamin Plain Apt. 720, East Mary, KY 81406",03-06-2021 16:47:01,shortage of water,high,within 5 hours
4993,Energy Scarcity,power outage,"774 Andrew Island, Brentside, MH 71001",02-01-2024 10:42:01,energy crisis,very low,within 9 hours
4994,Energy Scarcity,energy scarcity,"034 Aaron Coves Suite 724, Lake Glenland, FM 35732",31-03-2022 21:21:51,shortage of energy,very high,within 72 hours
4995,Energy Scarcity,lack of electricity,"1440 Vazquez Rapids, West Ambershire, CA 10784",22-05-2020 21:46:10,lack of electricity,high,within 72 hours
4996,Energy Scarcity,power outage,"69366 William Via Apt. 832, Owenside, MO 87491",13-02-2020 00:09:03,lack of electricity,moderate,within 9 hours
4997,Food Scarcity,food insecurity,"9459 Rhonda Mountain, Cobbland, OH 93284",27-08-2021 11:24:28,famine,moderate,within 9 hours
4998,Water Scarcity,water scarcity,"9355 Jessica Corners Apt. 649, West Andrew, AS 51581",08-01-2021 15:39:40,water crisis,very high,within 7 hours
4999,Food Scarcity,hunger crisis,"7698 Torres Brook Apt. 846, West Matthewside, CA 55440",24-10-2021 13:11:12,hunger crisis,high,within 72 hours
5000,Food Scarcity,famine,"635 Blake Shoal, Josephburgh, NC 89309",24-10-2020 06:49:03,shortage of food,moderate,within 9 hours
5001,Water Scarcity,drought,"580 Brady Garden, North Amanda, IA 33459",16-07-2020 15:40:46,drought,low,within 12 hours
5002,Medical Supplies Scarcity,healthcare crisis,"1712 Stanton Crossroad, Ingramchester, SC 36002",03-11-2022 01:04:13,shortage of medical equipment,very high,within 48 hours
5003,Energy Scarcity,energy crisis,"USS Vega, FPO AA 81215",02-04-2023 10:15:39,energy crisis,very high,within 7 hours
5004,Medical Supplies Scarcity,medical supply shortage,"236 Gregory Fall, Danielleville, MP 95492",03-01-2021 06:53:46,shortage of medical equipment,high,within 24 hours
5005,Energy Scarcity,energy crisis,"7517 Nicholson Cove Suite 760, North Jeffrey, PW 36576",05-11-2020 10:46:49,power outage,high,within 72 hours
5006,Food Scarcity,hunger crisis,"204 Harrison Drives Suite 528, Matthewhaven, FL 75989",22-08-2020 15:02:42,famine,high,within 24 hours
5007,Medical Supplies Scarcity,shortage of medical equipment,"2032 Johnson Cape, Grahamborough, DE 81308",05-09-2020 21:04:25,shortage of medical equipment,low,within 12 hours
5008,Medical Supplies Scarcity,shortage of medical equipment,"408 Lisa Point Suite 289, East Ann, LA 88195",29-02-2024 13:51:11,shortage of medical equipment,very low,within 5 hours
5009,Medical Supplies Scarcity,lack of medicines,"653 Braun Highway Suite 601, West Michael, UT 63774",14-01-2021 03:45:59,lack of medicines,very low,within 5 hours
5010,Energy Scarcity,power outage,"Unit 9497 Box 1145, DPO AA 76406",11-07-2022 07:23:41,power outage,low,within 9 hours
5011,Water Scarcity,lack of clean water,"732 Neil Drive, North Jasonland, HI 88540",07-04-2024 10:50:46,drought,low,within 18 hours
5012,Energy Scarcity,energy scarcity,"91005 Lopez Ridges, South Andrew, IL 29695",11-11-2023 20:21:20,power outage,moderate,within 24 hours
5013,Water Scarcity,water scarcity,"5131 Martinez Tunnel Apt. 258, Deborahland, AL 19952",22-06-2021 08:14:41,lack of clean water,low,within 7 hours
5014,Water Scarcity,shortage of water,"1649 Phillips Pass Suite 396, West Patriciabury, MD 43622",16-05-2021 11:47:31,water crisis,high,within 24 hours
5015,Water Scarcity,water scarcity,"123 Anna Mews Apt. 310, New Robert, ND 05804",18-05-2022 22:37:00,water crisis,low,within 12 hours
5016,Fuel Scarcity,shortage of fuel,"9225 Michele Loop Suite 017, Bullockmouth, VA 09023",21-10-2022 19:01:17,fuel scarcity,high,within 18 hours
5017,Water Scarcity,lack of clean water,"031 Page River Apt. 342, Smithberg, OR 61093",29-04-2021 17:47:14,water scarcity,high,within 7 hours
5018,Medical Supplies Scarcity,shortage of medical equipment,"272 Duncan Springs, Rodriguezhaven, HI 64892",18-10-2023 11:23:59,medical supplies scarcity,high,within 18 hours
5019,Energy Scarcity,power outage,"56897 Gibson Junction Suite 495, North Katieborough, IN 24472",31-03-2021 18:18:02,shortage of energy,very low,within 5 hours
5020,Water Scarcity,drought,"3336 Donna Mountain, Websterville, HI 78668",13-02-2020 19:45:04,water scarcity,moderate,within 12 hours
5021,Fuel Scarcity,fuel scarcity,"PSC 6086, Box 1663, APO AE 86623",17-12-2021 14:55:02,fuel scarcity,moderate,within 12 hours
5022,Medical Supplies Scarcity,medical supply shortage,"10518 Christine Stravenue, Williamsville, WY 34569",03-05-2021 12:43:49,shortage of medical equipment,very low,within 24 hours
5023,Medical Supplies Scarcity,medical supplies scarcity,"2692 Mark Plain Suite 810, East Thomas, IA 13306",13-12-2023 16:00:35,shortage of medical equipment,low,within 18 hours
5024,Water Scarcity,water scarcity,"928 Roger Village Suite 205, South Chad, WV 63766",05-09-2021 14:08:42,drought,low,within 18 hours
5025,Fuel Scarcity,shortage of fuel,"12787 Thomas Ways, Davisburgh, FL 42086",08-12-2021 16:18:44,shortage of fuel,high,within 12 hours
5026,Energy Scarcity,power outage,"02631 Carpenter Manors, Rodriguezborough, GA 72651",30-08-2021 08:51:58,energy scarcity,very high,within 9 hours
5027,Energy Scarcity,lack of electricity,"8378 David Villages Apt. 171, Port Jimmymouth, NJ 39977",06-04-2020 15:27:05,energy scarcity,low,within 12 hours
5028,Fuel Scarcity,fuel supply disruption,"527 George Drives, Lake Fernando, OR 31813",30-06-2020 21:33:46,fuel supply disruption,low,within 5 hours
5029,Water Scarcity,water scarcity,"80846 Tiffany Hill, New Crystal, FM 55373",07-04-2022 22:16:23,water crisis,very high,within 18 hours
5030,Energy Scarcity,power outage,"847 Larry Forges Apt. 939, New Michelle, IA 33291",15-03-2023 21:43:10,power outage,moderate,within 5 hours
5031,Energy Scarcity,lack of electricity,"45640 Kenneth Causeway, Coxberg, IN 19186",11-10-2020 07:43:15,power outage,very high,within 48 hours
5032,Medical Supplies Scarcity,lack of medicines,"212 Patrick Shore, Jamesside, KS 68252",01-05-2020 22:59:18,lack of medicines,very low,within 7 hours
5033,Fuel Scarcity,petrol shortage,"737 Brown Drives Apt. 068, Moranchester, IL 72867",13-05-2022 03:16:16,energy crisis,very high,within 18 hours
5034,Water Scarcity,drought,"9004 Jay Meadow Suite 608, Evansview, AR 88861",03-10-2020 13:04:37,lack of clean water,very high,within 72 hours
5035,Water Scarcity,water crisis,"986 Autumn Port, Lake Tracyville, CA 88523",02-11-2022 09:52:32,water scarcity,very high,within 48 hours
5036,Food Scarcity,famine,"Unit 2676 Box 0921, DPO AA 19244",29-05-2023 00:57:40,food scarcity,very high,within 18 hours
5037,Medical Supplies Scarcity,healthcare crisis,"8928 Lauren Key, West Kelly, MA 80181",10-06-2021 21:22:10,lack of medicines,very high,within 9 hours
5038,Medical Supplies Scarcity,shortage of medical equipment,"97770 Peggy View Suite 761, Michaeltown, AR 37422",10-02-2022 10:47:03,lack of medicines,very high,within 48 hours
5039,Food Scarcity,famine,"USNS Gray, FPO AA 39801",01-01-2023 20:24:03,shortage of food,low,within 9 hours
5040,Food Scarcity,food scarcity,"42770 Diana Mill, Chenville, MN 94633",22-02-2020 04:43:51,famine,very high,within 24 hours
5041,Water Scarcity,lack of clean water,"47650 Janice Estate Suite 688, Martinton, TN 35172",25-08-2021 01:08:30,water scarcity,low,within 7 hours
5042,Medical Supplies Scarcity,shortage of medical equipment,"714 Paul Station, North Bridget, DC 14363",23-09-2021 05:38:48,medical supplies scarcity,low,within 18 hours
5043,Medical Supplies Scarcity,medical supply shortage,"723 Justin Hills Suite 692, Gregoryborough, AS 52783",22-05-2022 04:12:12,medical supply shortage,very low,within 48 hours
5044,Fuel Scarcity,petrol shortage,"047 Susan Terrace Apt. 106, Kimview, KS 91244",12-03-2023 14:58:14,shortage of fuel,high,within 9 hours
5045,Fuel Scarcity,fuel supply disruption,"38379 Rivas Isle Apt. 686, Amandafurt, GA 06133",07-05-2023 14:32:58,energy crisis,low,within 7 hours
5046,Fuel Scarcity,energy crisis,"4549 Blair Roads, Gregoryport, FM 08520",24-06-2022 22:34:29,energy crisis,low,within 5 hours
5047,Energy Scarcity,energy scarcity,"0083 Thomas Expressway, Smithmouth, NM 67932",13-07-2022 08:13:36,shortage of energy,moderate,within 72 hours
5048,Water Scarcity,water crisis,"630 Nelson Circle, Bartonview, IN 85501",05-04-2020 21:05:36,drought,low,within 48 hours
5049,Fuel Scarcity,fuel supply disruption,"84734 Cruz Mill, Carterfurt, WA 29930",23-08-2023 11:08:45,energy crisis,moderate,within 24 hours
5050,Fuel Scarcity,shortage of fuel,"4453 Heather Stream Suite 522, North Troyfurt, TN 43231",08-01-2023 13:19:28,fuel supply disruption,very low,within 24 hours
5051,Food Scarcity,food insecurity,"5761 Glass Circle Apt. 213, New Kevinhaven, MP 17549",22-02-2020 16:48:39,shortage of food,very high,within 7 hours
5052,Energy Scarcity,energy crisis,"4547 Ortiz Inlet Apt. 020, Jacksonton, PA 83519",09-04-2020 05:09:02,energy crisis,high,within 18 hours
5053,Water Scarcity,shortage of water,"855 Jordan Fall Apt. 542, Harrisonburgh, NM 75146",14-09-2023 20:57:11,lack of clean water,high,within 5 hours
5054,Energy Scarcity,power outage,"2622 Jamie Gardens Apt. 439, New Christinaview, IN 32536",14-01-2021 19:57:33,power outage,very low,within 12 hours
5055,Energy Scarcity,energy crisis,"645 Russell Ridge Apt. 877, West Moniqueville, MD 80550",27-10-2020 13:28:17,energy scarcity,high,within 72 hours
5056,Energy Scarcity,lack of electricity,"660 Teresa Springs, Lake Joseph, CO 67497",26-01-2023 13:23:59,shortage of energy,very high,within 12 hours
5057,Fuel Scarcity,shortage of fuel,"6195 Chase Key Apt. 366, Bennettland, VT 08704",17-04-2022 10:38:48,fuel scarcity,low,within 18 hours
5058,Energy Scarcity,energy crisis,"6557 Long Oval, Jeffreyfort, MT 08866",13-02-2023 19:34:40,lack of electricity,high,within 7 hours
5059,Energy Scarcity,power outage,"978 Taylor Light, West Donaldborough, MI 93658",22-07-2020 00:02:12,shortage of energy,very low,within 18 hours
5060,Energy Scarcity,energy scarcity,"84765 Michael Garden Suite 849, East Jameschester, MN 41989",10-02-2022 22:23:56,shortage of energy,very low,within 72 hours
5061,Medical Supplies Scarcity,healthcare crisis,"6416 Wendy Tunnel, New Jennifer, KS 64560",12-10-2023 20:26:25,medical supplies scarcity,moderate,within 9 hours
5062,Water Scarcity,shortage of water,"PSC 2316, Box 4195, APO AE 41861",21-05-2023 18:20:42,water scarcity,very high,within 7 hours
5063,Water Scarcity,water scarcity,"Unit 1893 Box 2958, DPO AA 23181",23-01-2023 17:04:04,drought,low,within 9 hours
5064,Medical Supplies Scarcity,shortage of medical equipment,"3242 Wilson Street Suite 577, Wrightburgh, MN 60853",05-07-2023 02:45:12,medical supplies scarcity,very low,within 48 hours
5065,Fuel Scarcity,petrol shortage,"813 Rachel Corners Apt. 455, East Marc, NJ 62850",30-11-2022 13:39:59,fuel supply disruption,moderate,within 7 hours
5066,Energy Scarcity,energy scarcity,"2121 Gomez Squares Suite 062, Perezbury, VI 90401",01-10-2021 23:53:21,shortage of energy,very low,within 24 hours
5067,Energy Scarcity,lack of electricity,"55673 Carney Pines Suite 487, New Jacobmouth, MI 41864",08-06-2021 16:16:43,energy scarcity,low,within 24 hours
5068,Fuel Scarcity,shortage of fuel,"PSC 8711, Box 6194, APO AA 46311",14-01-2024 16:22:23,fuel supply disruption,low,within 5 hours
5069,Food Scarcity,famine,"7969 Ford Ferry, Brandonberg, PW 55128",17-01-2022 10:02:30,food scarcity,moderate,within 12 hours
5070,Energy Scarcity,energy scarcity,"543 Beverly Route Apt. 618, West Shannon, VI 09410",14-10-2020 13:26:51,shortage of energy,high,within 48 hours
5071,Food Scarcity,shortage of food,"16215 Hood Crescent, Richland, IN 87989",22-04-2023 01:24:24,food scarcity,moderate,within 24 hours
5072,Fuel Scarcity,shortage of fuel,"7961 Teresa Summit, Rodneychester, PR 92395",18-12-2021 19:15:16,shortage of fuel,low,within 24 hours
5073,Medical Supplies Scarcity,healthcare crisis,"05690 Michael Viaduct Apt. 271, South Diane, VI 61998",06-08-2021 15:36:12,healthcare crisis,moderate,within 5 hours
5074,Energy Scarcity,shortage of energy,"681 Benson Shores Apt. 301, North Nicolestad, MA 06005",03-03-2022 14:27:19,power outage,very low,within 18 hours
5075,Fuel Scarcity,energy crisis,"Unit 1725 Box 5590, DPO AA 78520",28-09-2023 14:25:41,energy crisis,high,within 7 hours
5076,Food Scarcity,hunger crisis,"8698 Elizabeth Mountains Apt. 922, Thomasmouth, IL 89828",27-05-2021 21:15:56,famine,high,within 24 hours
5077,Fuel Scarcity,shortage of fuel,"6079 Austin Court, South Brandonton, MS 64248",03-04-2020 05:33:19,fuel scarcity,moderate,within 12 hours
5078,Water Scarcity,shortage of water,"USNS Williams, FPO AP 80191",31-05-2022 22:37:28,drought,low,within 12 hours
5079,Water Scarcity,shortage of water,"03274 Martin Park Apt. 287, Davisland, IA 45839",06-03-2020 16:26:24,shortage of water,high,within 48 hours
5080,Medical Supplies Scarcity,medical supplies scarcity,"5426 Lindsay Valleys Apt. 483, East Kenneth, PR 13992",05-12-2020 22:46:49,medical supply shortage,low,within 5 hours
5081,Water Scarcity,drought,"5369 Edwin Row Suite 606, Portertown, PW 10556",25-09-2022 23:06:43,water scarcity,high,within 72 hours
5082,Fuel Scarcity,energy crisis,"96152 Katelyn Drive, Welchchester, TX 81859",12-11-2020 07:17:54,petrol shortage,low,within 48 hours
5083,Energy Scarcity,lack of electricity,"055 Hickman Freeway, New Corybury, GA 03119",06-03-2020 07:24:52,power outage,very high,within 9 hours
5084,Fuel Scarcity,energy crisis,"23071 William Court, West Susantown, PW 47004",14-03-2021 02:17:52,petrol shortage,low,within 9 hours
5085,Water Scarcity,water crisis,"848 Mark Land, Mitchellfort, TN 70764",30-04-2022 17:32:06,shortage of water,high,within 7 hours
5086,Medical Supplies Scarcity,medical supply shortage,"95662 Bryan Gateway, Cooperchester, RI 38122",10-08-2023 01:24:40,medical supply shortage,very low,within 9 hours
5087,Fuel Scarcity,energy crisis,"0162 Juan Village, Lake Jaimeville, OR 98442",13-01-2020 06:44:21,petrol shortage,high,within 12 hours
5088,Medical Supplies Scarcity,medical supplies scarcity,"14381 Li Key Apt. 912, Aaronhaven, FL 64691",02-07-2022 21:53:30,healthcare crisis,very high,within 9 hours
5089,Medical Supplies Scarcity,shortage of medical equipment,"34265 Jones Glen, Millerstad, GU 71124",13-11-2023 00:30:38,medical supplies scarcity,moderate,within 72 hours
5090,Fuel Scarcity,fuel scarcity,"201 Gibson Run, Jamesfurt, PR 51422",16-05-2022 21:27:58,fuel scarcity,moderate,within 18 hours
5091,Food Scarcity,shortage of food,"114 Richardson Motorway Suite 216, Blankenshipburgh, MN 02239",13-05-2021 18:45:02,shortage of food,low,within 12 hours
5092,Fuel Scarcity,energy crisis,"595 Stacy Plains Suite 396, West Brandon, LA 55568",26-08-2020 14:36:03,energy crisis,very low,within 7 hours
5093,Fuel Scarcity,energy crisis,"USCGC Kramer, FPO AE 85503",21-11-2020 02:27:08,fuel scarcity,moderate,within 9 hours
5094,Fuel Scarcity,fuel scarcity,"PSC 8990, Box 1980, APO AP 51739",30-07-2020 21:17:18,fuel scarcity,moderate,within 9 hours
5095,Fuel Scarcity,fuel scarcity,"643 Yolanda Vista, Irwinside, NH 55876",06-01-2023 13:35:22,shortage of fuel,very low,within 72 hours
5096,Fuel Scarcity,fuel scarcity,"051 Ethan Crescent Apt. 160, East Theresastad, WV 96094",27-06-2023 12:51:34,shortage of fuel,very low,within 7 hours
5097,Fuel Scarcity,shortage of fuel,"6751 Kelsey Trace, East Larryburgh, MH 58236",15-02-2023 06:54:23,energy crisis,moderate,within 5 hours
5098,Water Scarcity,shortage of water,"15879 Paula View, Nashville, UT 21252",26-09-2022 01:26:41,shortage of water,very low,within 9 hours
5099,Energy Scarcity,energy crisis,"835 Nancy Harbors Suite 338, Romanton, DE 28095",25-08-2022 05:39:49,energy scarcity,moderate,within 72 hours
5100,Water Scarcity,water crisis,"61698 Brandon Valley, North Angelaborough, GA 96713",13-03-2022 09:20:59,lack of clean water,high,within 72 hours
5101,Water Scarcity,drought,"48244 Kent Springs, Port Andrewbury, MP 18260",04-11-2023 06:34:47,lack of clean water,low,within 7 hours
5102,Energy Scarcity,shortage of energy,"693 Mary Falls, Lake Kevinport, HI 60577",30-05-2022 04:39:08,energy crisis,low,within 18 hours
5103,Water Scarcity,water scarcity,"833 Robert Road, Port Stephanie, KY 67059",22-06-2021 11:17:12,water scarcity,moderate,within 7 hours
5104,Food Scarcity,food insecurity,"00230 Brandy Motorway Apt. 466, Randallchester, WV 82394",04-01-2024 11:25:19,food insecurity,moderate,within 12 hours
